,01,02,04,05,06,08,09,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56
Population,544,205,"2,392",332,"37,504","2,431","16,318",432,"1,610","70,487","10,264","1,022",543,"5,337","1,809",704,801,755,"2,074",320,"7,998","61,436","4,392","2,005",306,"1,603",120,301,"2,679","2,131","28,807",845,"24,252","5,228",446,"3,222",561,"2,143","9,795","1,117","3,112",93,"1,148","15,901","3,688",150,"5,260","3,674",295,"1,086",65
Age 0 to 4,16,0,7,0,294,0,124,0,0,600,21,0,0,40,28,0,0,0,0,0,257,284,78,117,0,29,0,0,0,64,49,0,193,0,0,75,0,29,33,0,29,0,24,135,0,0,0,0,0,0,0
Age 5 to 9,0,0,28,0,289,45,15,0,137,1173,141,60,0,16,31,0,0,0,38,0,155,510,80,0,0,25,0,0,0,0,310,0,72,46,0,42,0,0,234,0,102,0,22,458,29,0,27,0,0,15,0
Age 10 to 14,33,26,108,0,393,0,195,33,19,1893,181,14,0,173,54,0,30,0,4,0,325,1105,207,45,0,82,0,0,110,67,508,0,143,47,56,9,0,0,215,0,75,0,29,232,13,0,92,15,0,15,0
Age 15 to 19,34,0,184,85,1308,45,465,127,78,2691,583,33,82,304,168,34,57,52,40,6,329,1998,214,96,0,46,14,23,60,105,1115,54,574,162,34,150,115,39,221,0,114,6,92,519,285,25,236,313,14,116,4
Age 20 to 24,8,0,235,30,2200,353,700,32,180,3512,1070,73,240,794,312,89,100,244,159,30,259,3486,243,258,41,139,72,64,355,43,1742,15,1274,562,180,493,29,282,557,68,117,0,97,1056,417,8,280,377,36,282,0
Age 25 to 29,127,0,152,47,3901,223,1680,41,77,5878,844,81,103,540,370,142,54,37,702,105,843,6886,569,340,53,189,0,38,439,406,3090,34,2015,338,47,383,122,190,1560,134,503,0,107,1951,244,0,559,623,25,132,13
Age 30 to 34,66,59,298,22,5740,469,2392,12,168,7937,1461,159,30,871,93,126,69,168,227,0,1158,10956,575,332,56,152,0,0,209,322,3895,73,3185,728,7,525,7,229,2101,104,647,44,112,2143,670,0,1064,427,78,158,0
Age 35 to 39,16,0,319,61,5772,240,2149,22,175,9278,1312,71,39,434,106,82,172,84,309,36,1207,9427,681,226,52,75,0,34,400,229,3560,200,3195,650,105,466,12,349,1370,128,289,30,153,1835,362,27,572,555,36,24,0
Age 40 to 44,66,19,309,42,4012,246,2176,45,146,7397,986,187,10,510,107,70,72,68,277,41,1081,8011,566,209,65,172,0,21,277,226,3890,174,2844,614,7,219,24,161,1042,120,342,0,37,1810,445,57,473,283,0,73,5
Age 45 to 49,141,46,176,0,3883,224,1997,37,69,7390,1115,90,11,636,115,75,135,7,90,34,574,6572,239,174,0,205,0,0,152,358,3033,31,2980,532,0,165,74,209,522,122,264,0,145,1355,306,0,519,429,55,68,9
Age 50 to 54,14,42,226,16,2974,304,2168,39,188,7552,1291,52,16,238,106,44,48,14,71,0,683,5394,249,69,13,340,31,0,199,41,2943,68,2206,566,0,335,56,282,681,158,228,13,146,1798,287,11,506,359,5,90,10
Age 55 to 59,0,13,185,0,2241,65,1140,32,28,4986,501,105,12,234,199,0,13,0,52,0,355,3430,321,122,11,51,0,46,234,108,1662,61,2047,480,10,48,78,84,311,121,259,0,40,1044,186,0,363,143,18,73,0
Age 60 to 64,23,0,48,0,1665,77,472,12,68,3142,512,48,0,123,51,0,31,49,54,0,308,1351,204,17,0,0,0,25,100,77,1212,116,1537,199,0,146,44,66,328,43,58,0,32,875,177,0,202,54,0,32,0
Age 65 to 69,0,0,74,0,1117,62,279,0,36,2971,159,33,0,163,26,0,20,32,51,0,168,1092,54,0,0,14,0,0,59,27,785,0,580,72,0,104,0,35,226,99,31,0,0,306,108,12,100,54,17,0,16
Age 70 to 74,0,0,22,0,788,51,238,0,82,1701,42,16,0,25,0,0,0,0,0,18,130,484,71,0,15,51,0,39,55,58,440,0,794,73,0,24,0,0,132,20,31,0,21,153,11,10,76,38,0,0,8
Age 75 to 79,0,0,0,29,361,13,82,0,122,1157,45,0,0,85,15,42,0,0,0,0,123,238,21,0,0,0,3,11,22,0,220,17,271,37,0,38,0,61,31,0,16,0,75,140,89,0,34,0,0,8,0
Age 80 to 84,0,0,21,0,262,0,46,0,0,465,0,0,0,89,28,0,0,0,0,50,26,160,20,0,0,33,0,0,8,0,206,0,177,94,0,0,0,110,83,0,0,0,16,41,59,0,77,4,0,0,0
Age 85 and over,0,0,0,0,304,14,0,0,37,764,0,0,0,62,0,0,0,0,0,0,17,52,0,0,0,0,0,0,0,0,147,2,165,28,0,0,0,17,148,0,7,0,0,50,0,0,80,0,11,0,0
Age 0 to 20,83,26,351,85,2448,90,875,176,339,6946,1118,107,120,842,286,34,87,143,196,6,1104,4618,605,258,0,202,26,23,200,236,2105,54,1041,312,148,351,136,183,748,0,372,6,167,1440,362,33,359,432,21,273,4
Age 21 to 34,201,59,661,99,11677,1045,4696,69,320,16738,3183,313,335,1896,770,357,223,358,974,135,2222,20607,1361,930,150,460,60,102,973,771,8604,122,6415,1571,176,1326,137,586,4173,306,1215,44,316,5054,1296,0,1899,1323,132,445,13
Age 35 to 64,260,120,1263,119,20547,1156,10102,187,674,39745,5717,553,88,2175,684,271,471,222,853,111,4208,34185,2260,817,141,843,31,126,1362,1039,16300,650,14809,3041,122,1379,288,1151,4254,692,1440,43,553,8717,1763,95,2635,1823,114,360,24
Age 65 and over,0,0,117,29,2832,140,645,0,277,7058,246,49,0,424,69,42,20,32,51,68,464,2026,166,0,15,98,3,50,144,85,1798,19,1987,304,0,166,0,223,620,119,85,0,112,690,267,22,367,96,28,8,24
Female,344,97,1629,255,21368,1504,8395,299,1177,40516,5811,711,158,2831,884,347,386,368,806,214,4561,31954,2691,1271,149,786,15,215,1537,1080,15691,492,14266,3165,225,1546,355,1179,5336,697,1363,68,582,9584,2152,150,3407,2154,171,564,38
Male,200,108,763,77,16136,927,7923,133,433,29971,4453,311,385,2506,925,357,415,387,1268,106,3437,29482,1701,734,157,817,105,86,1142,1051,13116,353,9986,2063,221,1676,206,964,4459,420,1749,25,566,6317,1536,0,1853,1520,124,522,27
